rxn_id	source_id	source_type	rxn_type	temperature_deg_c	time_h	atmosphere	stirring_shaking	scale_mol	concentration_mol_l	catalyst_1_cas	catalyst_1_eq	catalyst_1_smiles	catalyst_2_cas	catalyst_2_eq	catalyst_2_smiles	reagent_1_cas	reagent_1_eq	reagent_1_smiles	reagent_2_cas	reagent_2_eq	reagent_2_smiles	reagent_3_cas	reagent_3_eq	reagent_3_smiles	reagent_4_cas	reagent_4_eq	reagent_4_smiles	reagent_5_cas	reagent_5_eq	reagent_5_smiles	solvent_1_cas	solvent_1_fraction	solvent_1_smiles	solvent_2_cas	solvent_2_fraction	solvent_2_smiles	startingmat_1_cas	startingmat_1_eq	startingmat_1_smiles	product_1_cas	product_1_ms	product_1_nmr	product_1_smiles	product_1_yield	product_1_yieldtype	product_2_cas	product_2_smiles	product_2_yield	product_2_yieldtype	provenance	procedure
lit_pub_bo_1	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C	5394-23-0	0.001916	ClC=1C=CN=C2C=3N=CC=C(Cl)C3C=CC12																109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	0.150000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
lit_pub_bo_2	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C	66-71-7	0.001916	N=1C=CC=C2C=CC=3C=CC=NC3C12																109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	0.420000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
lit_pub_bo_3	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C																			109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	0.230000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
lit_pub_bo_4	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C	2412194-50-2	0.001916	N=1C=CC(=C2C=CC3=C(N=CC=C3C[Si](C(C)C)(C(C)C)C(C)C)C12)C[Si](C(C)C)(C(C)C)C(C)C																109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	0.550000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
lit_pub_bo_5	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								1422577-91-0	0.001916	N=1C=CC(=C2C=CC3=C(N=CC=C3N4CCCC4)C12)N5CCCC5	73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C																109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	0.330000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
lit_pub_bo_6	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								2222101-72-4	0.001916	ClC1=C2C=CC=3C(Cl)=C(C=NC3C2=NC=C1C)C	73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C																109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	0.230000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
lit_pub_bo_7	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								3002-80-0	0.001916	N=1C=C(C=C2C=CC=3C=C(C=NC3C12)C)C	73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C																109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	1.000000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
lit_pub_bo_8	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C	1660-93-1	0.001916	N=1C=C(C(=C2C=CC3=C(N=CC(=C3C)C)C12)C)C																109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	1.030000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
lit_pub_bo_9	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								2412194-52-4	0.001916	N=1C=C(C(=C2C=CC3=C(N=CC(=C3C[Si](C(C)C)(C(C)C)C(C)C)C)C12)C[Si](C(C)C)(C(C)C)C(C)C)C	73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C																109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	1.370000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
lit_pub_bo_10	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								2412194-53-5	0.001916	N=1C=C(C(=C2C=CC3=C(N=CC(=C3N4CCCC4)C)C12)N5CCCC5)C	73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C																109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	0.890000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
lit_pub_bo_11	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C	2412194-56-8	0.001916	ClC=1C2=CC=C3C(Cl)=C(C=NC3=C2N=CC1C4=C(C=C(C=C4C)C)C)C=5C(=CC(=CC5C)C)C																109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	0.280000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
lit_pub_bo_12	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								1855898-61-1	0.001916	N1=CC(=CC=2C=CC=3C=C(C=NC3C12)C=4C(=CC(=CC4C)C)C)C5=C(C=C(C=C5C)C)C	73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C																109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	0.970000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
lit_pub_bo_13	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C	2412194-57-9	0.001916	N1=CC(C2=C(C=C(C=C2C)C)C)=C(C3=CC=C4C(N=CC(C=5C(=CC(=CC5C)C)C)=C4C)=C13)C																109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	0.990000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
lit_pub_bo_14	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								2412194-58-0	0.001916	N1=CC(C2=C(C=C(C=C2C)C)C)=C(C3=CC=C4C(N=CC(C=5C(=CC(=CC5C)C)C)=C4C[Si](C(C)C)(C(C)C)C(C)C)=C13)C[Si](C(C)C)(C(C)C)C(C)C	73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C																109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	0.700000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
lit_pub_bo_15	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C	1852465-73-6	0.001916	N=1C=C(C=C2C=CC=3C=C(C=NC3C12)B4OC(C)(C)C(O4)(C)C)B5OC(C)(C)C(O5)(C)C																109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	0.500000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
lit_pub_bo_16	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C	2412194-59-1	0.001916	N1=CC(=CC2=CC=C3C=C(C=NC3=C12)C=4C(OC)=CC(OC)=CC4OC)C5=C(OC)C=C(OC)C=C5OC																109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	0.140000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
lit_pub_bo_17	10.1021/acscatal.0c00152	publication	borylation	100	48.000000	ARGON	UNSPECIFIED	0.004437								73183-34-3	0.038314	O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C	2412194-62-6	0.001916	N1=CC(=CC2=CC=C3C=C(C=NC3=C12)C=4C(=CC(=CC4COC)COC)COC)C5=C(C=C(C=C5COC)COC)COC																109-99-9	1	O1CCCC1	331958-90-8			O1B(OC(C)(C)C1(C)C)C2COCC2	0.920000	GC					Alex T. Mueller alex.mueller@roche.com 0000-0001-8063-9952 F. Hoffmann-La Roche Ltd.	
