rxn_id	source_id	source_type	rxn_type	rxn_name	rxn_tech	temperature_deg_c	time_h	atmosphere	stirring_shaking	scale_mol	concentration_mol_l	startingmat_1_cas	startingmat_1_smiles	startingmat_1_eq	startingmat_2_cas	startingmat_2_smiles	startingmat_2_eq	reagent_1_cas	reagent_1_smiles	reagent_1_eq	reagent_2_cas	reagent_2_smiles	reagent_2_eq	catalyst_1_cas	catalyst_1_smiles	catalyst_1_eq	ligand_1_cas	ligand_1_smiles	ligand_1_eq	additive_1_cas	additive_1_smiles	additive_1_eq	solvent_1_cas	solvent_1_smiles	solvent_1_fraction	solvent_2_cas	solvent_2_smiles	solvent_2_fraction	product_1_cas	product_1_smiles	product_1_yield	product_1_yieldtype	product_1_ms	product_1_nmr	product_2_cas	product_2_smiles	product_2_yield	product_2_yieldtype	product_2_ms	product_2_nmr	product_3_cas	product_3_smiles	product_3_yield	product_3_yieldtype	product_3_ms	product_3_nmr	procedure	comment
lsf_lit_minisci_1	10.1021/acs.orglett.8b02988	paper	alkylation	minisci	standard	40	16	ar	st_	0.00015	0.05	491-35-0	N=1C=CC(=C2C=CC=CC12)C	1	98-89-5	O=C(O)C1CCCCC1	10	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	3													67-68-5	O=S(C)C	0.99998333	7732-18-5	O	0.001667	56947-80-9	N=1C=2C=CC=CC2C(=CC1C3CCCCC3)C	0.82	isolated		"1HNMR(CDCl3,300MHz) δ 8.04(1H,ddd,J=8.4,1.3,0.6Hz,Ar‐H),7.94(1H,dm,J=8.2Hz,Ar‐H),7.66(1H,ddd,J=8.4,6.9,1.5Hz,Ar‐H),7.49(1H,ddd,J=8.2,6.9,1.3Hz,Ar‐H),7.17(1H,q,J=0.9Hz,Ar‐H),2.87(1H,tt,J=11.9,3.4Hz,alkylCH),2.68(3H,d,J=0.9Hz,CH3),2.07–1.74(5H,m,alkylCHs),1.66–1.23(5H,m,alkylCHs);13CNMR(75MHz,CDCl3) δ 166.7,147.7,144.4,129.6,129.1,127.2,125.5,123.7,120.4,47.7,33.0,26.7,26.3,19.0"														
lsf_lit_minisci_2	10.1021/acs.orglett.8b02988	paper	alkylation	minisci	standard	40	16	ar	st_	0.00015	0.05	91-63-4	N=1C=2C=CC=CC2C=CC1C	1	98-89-5	O=C(O)C1CCCCC1	10	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	3													67-68-5	O=S(C)C	0.99998333	7732-18-5	O	0.001667	37597-46-9	N=1C=2C=CC=CC2C(=CC1C)C3CCCCC3	0.8	isolated		"1HNMR (CDCl3, 300 MHz) δ 8.10 – 7.94 (2H, m, Ar‐H), 7.65 (1H, ddd, J=8.4, 6.8, 1.4 Hz, Ar‐H), 7.48 (1H,ddd, J=8.3, 6.8, 1.3 Hz, Ar‐H), 7.17 (1H, s, Ar‐H), 3.39 – 3.20 (1H, m, alkyl CH), 2.72 (3H, s, CH3), 2.08 – 1.80 (5H, m, alkyl CHs), 1.66 – 1.44 (4H, m, alkyl CHs), 1.41 – 1.28 (1H, m, alkyl CH); 13C NMR (75 MHz, CDCl3) δ 159.0, 153.4, 148.3, 129.7, 128.9, 125.4, 125.3, 123.0, 118.5, 38.9, 33.7, 27.1, 26.5,25.7"														
lsf_lit_minisci_3	10.1021/acs.orglett.8b02988	paper	alkylation	minisci	standard	40	16	ar	st_	0.0035	0.05	91-63-4	N=1C=2C=CC=CC2C=CC1C	1	98-89-5	O=C(O)C1CCCCC1	10	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	3													67-68-5	O=S(C)C	0.99998333	7732-18-5	O	0.001667	37597-46-9	N=1C=2C=CC=CC2C(=CC1C)C3CCCCC3	0.78	isolated		"1HNMR (CDCl3, 300 MHz) δ 8.10 – 7.94 (2H, m, Ar‐H), 7.65 (1H, ddd, J=8.4, 6.8, 1.4 Hz, Ar‐H), 7.48 (1H,ddd, J=8.3, 6.8, 1.3 Hz, Ar‐H), 7.17 (1H, s, Ar‐H), 3.39 – 3.20 (1H, m, alkyl CH), 2.72 (3H, s, CH3), 2.08 – 1.80 (5H, m, alkyl CHs), 1.66 – 1.44 (4H, m, alkyl CHs), 1.41 – 1.28 (1H, m, alkyl CH); 13C NMR (75 MHz, CDCl3) δ 159.0, 153.4, 148.3, 129.7, 128.9, 125.4, 125.3, 123.0, 118.5, 38.9, 33.7, 27.1, 26.5,25.7"														
lsf_lit_minisci_4	10.1021/acs.orglett.8b02988	paper	alkylation	minisci	standard	40	16	ar	st_	0.00015	0.05	1128-61-6	FC=1C=CC=2N=C(C=CC2C1)C	1	98-89-5	O=C(O)C1CCCCC1	10	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	3													67-68-5	O=S(C)C	0.99998333	7732-18-5	O	0.001667	2248050-76-0	FC=1C=CC=2N=C(C=C(C2C1)C3CCCCC3)C	0.62	isolated																
lsf_lit_minisci_5	10.1021/acs.orglett.8b02988	paper	alkylation	minisci	standard	40	16	ar	st_	0.00015	0.05	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	98-89-5	O=C(O)C1CCCCC1	10	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	3													67-68-5	O=S(C)C	0.99998333	7732-18-5	O	0.001667		CC1=NC2=CC=C(OC)C=C2C(C3CCCCC3)=C1	0.68	isolated																
lsf_lit_minisci_6	10.1021/acs.orglett.8b02988	paper	alkylation	minisci	standard	40	16	ar	st_	0.00015	0.05	1125-80-0	N1=CC2=CC=CC=C2C=C1C	1	98-89-5	O=C(O)C1CCCCC1	10	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	3													67-68-5	O=S(C)C	0.99998333	7732-18-5	O	0.001667	2130838-00-3	N=1C(=CC=2C=CC=CC2C1C3CCCCC3)C	0.91	isolated																
lsf_lit_minisci_7	10.1021/acs.orglett.8b02988	paper	alkylation	minisci	standard	40	16	ar	st_	0.00015	0.05	229-87-8	N1=CC2=CC=CC=C2C3=CC=CC=C13	1	98-89-5	O=C(O)C1CCCCC1	10	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	3													67-68-5	O=S(C)C	0.99998333	7732-18-5	O	0.001667	16573-53-8	N=1C=2C=CC=CC2C=3C=CC=CC3C1C4CCCCC4	0.8	isolated																
lsf_lit_minisci_8	10.1021/acs.orglett.8b02988	paper	alkylation	minisci	standard	40	16	ar	st_	0.00015	0.05	253-82-7	N=1C=NC=2C=CC=CC2C1	1	98-89-5	O=C(O)C1CCCCC1	10	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	3													67-68-5	O=S(C)C	0.99998333	7732-18-5	O	0.001667	1466541-55-8	N=1C=NC(=C2C=CC=CC12)C3CCCCC3	0.77	isolated																
lsf_lit_minisci_9	10.1021/acs.orglett.8b02988	paper	alkylation	minisci	standard	40	16	ar	st_	0.00015	0.05	253-52-1	N=1N=CC=2C=CC=CC2C1	1	98-89-5	O=C(O)C1CCCCC1	10	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6													67-68-5	O=S(C)C	0.99998333	7732-18-5	O	0.001667	1466541-54-7	N=1N=C(C=2C=CC=CC2C1C3CCCCC3)C4CCCCC4	0.74	isolated																
lsf_lit_minisci_10	10.1021/acs.orglett.8b02988	paper	alkylation	minisci	standard	40	16	ar	st_	0.00015	0.05	7251-61-8	N1=CC(=NC2=CC=CC=C12)C	1	98-89-5	O=C(O)C1CCCCC1	10	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	4													67-68-5	O=S(C)C	0.99998333	7732-18-5	O	0.001667	1466541-52-5	N=1C=2C=CC=CC2N=C(C1C)C3CCCCC3	0.69	isolated																
lsf_lit_minisci_11	10.1021/acs.orglett.8b02988	paper	alkylation	minisci	standard	40	16	ar	st_	0.00015	0.05	108-48-5	N=1C(=CC=CC1C)C	1	98-89-5	O=C(O)C1CCCCC1	10	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	3													67-68-5	O=S(C)C	0.99998333	7732-18-5	O	0.001667	1926949-71-4	N=1C(=CC(=CC1C)C2CCCCC2)C	0.5	isolated																
lsf_lit_minisci_12	10.1021/acs.orglett.8b02988	paper	alkylation	minisci	standard	40	24	ar	st_	0.00015	0.05	491-36-1	O=C1N=CNC=2C=CC=CC12	1	98-89-5	O=C(O)C1CCCCC1	10	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6													67-68-5	O=S(C)C	0.99998333	7732-18-5	O	0.001667	26059-80-3	O=C1N=C(NC=2C=CC=CC12)C3CCCCC3	0.6	isolated																
lsf_lit_minisci_13	10.1021/acs.orglett.8b02988	paper	alkylation	minisci	standard	40	40	ar	st_	0.00015	0.05	95-16-9	N1=CSC=2C=CC=CC12	1	98-89-5	O=C(O)C1CCCCC1	10	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6													67-68-5	O=S(C)C	0.99998333	7732-18-5	O	0.001667	40115-03-5	N=1C=2C=CC=CC2SC1C3CCCCC3	0.25	isolated																
